idx,class,epoch-0,epoch-1,epoch-2,epoch-3,epoch-4
sample-2906,1,15.7452,16.4701,14.8364,15.707,15.0381
sample-3014,1,14.6711,15.9494,16.4432,15.5593,16.5292
sample-3104,1,18.0716,17.5889,17.6123,19.6532,19.358
sample-3145,1,17.8209,18.7293,19.3612,19.3478,19.937
sample-3163,1,12.9422,15.6349,17.4668,18.8127,18.5998
sample-3201,1,15.916,16.5887,17.4581,16.8229,16.9568
sample-3225,1,15.8948,16.0734,18.1328,19.1659,20.1922
sample-3275,1,13.5789,13.7615,14.4847,14.1694,15.4997
sample-3282,1,14.829,16.5982,17.3184,16.0243,15.5111
sample-3318,1,19.6245,19.6023,19.8909,19.9282,20.1522
sample-3388,1,16.2864,16.2949,17.2659,15.8864,16.1366
sample-3452,1,14.1561,14.2103,16.5914,15.6563,16.2029
sample-3494,1,14.8708,15.4729,17.1132,17.6572,17.4544
sample-3496,1,13.2819,13.8825,14.6544,16.1722,15.2752
sample-3546,1,14.9786,16.9548,18.2458,16.7814,16.1364
sample-3549,1,16.0679,13.1906,12.4691,15.3089,14.8055
sample-3550,1,14.1479,13.6517,13.6966,15.5386,15.3866
sample-3551,1,15.1847,14.9807,15.7523,16.7214,16.3107
sample-3552,1,14.081,19.7689,18.343,19.1728,18.8733
sample-3631,1,11.5366,12.5886,12.2738,13.9064,14.8576
sample-3658,1,14.5082,16.1229,16.8478,16.9228,17.8181
sample-3690,1,14.7715,15.3422,16.749,16.584,16.2479
sample-3693,1,16.2974,17.0736,16.7568,18.3264,17.4443
sample-3782,1,14.9,16.8576,17.4542,18.7388,19.6422
sample-3793,1,17.8089,18.3014,18.8092,17.4925,18.2103
sample-3866,1,16.1465,18.095,18.0779,20.0442,21.2577
sample-3872,1,13.3819,18.8259,19.8357,16.3577,16.0273
sample-3892,1,16.0958,15.8215,17.5998,17.4249,18.4033
sample-3950,1,18.5169,18.4605,19.2425,17.3905,17.1278
sample-4029,1,15.4562,15.254,16.657,15.9727,15.8714
sample-4111,1,13.9603,15.067,16.0107,15.0092,15.4798
sample-4112,1,14.3346,15.4963,16.9628,16.3842,16.5792
sample-4119,1,14.5385,16.4215,18.3821,18.5604,18.1367
sample-4140,1,17.0091,18.5352,19.4295,19.7821,19.2748
sample-4142,1,16.7546,17.8715,18.8221,19.0802,18.8062
sample-4150,1,14.4097,14.9126,17.361,17.243,17.0634
sample-4327,1,14.994,14.8496,14.923,14.3685,13.3907
sample-4394,1,12.9374,15.392,16.8922,17.863,17.6114
sample-4395,1,11.7325,12.8078,14.0067,14.2511,15.2582
sample-4432,1,16.541,16.6801,17.0825,18.6262,18.5708
sample-4475,1,11.9135,13.9354,14.9316,15.7813,15.9313
sample-4515,1,13.6598,15.4734,17.3871,17.718,18.3831
sample-4584,1,14.7459,15.1351,15.4016,15.5475,16.9027
sample-4651,1,15.4081,15.3959,16.7523,16.2006,16.5873
sample-4745,1,16.388,17.5001,18.895,18.8573,19.7755
sample-4746,1,16.4072,16.1965,17.6838,17.8122,19.1344
sample-4814,1,15.7281,17.0988,18.2838,19.3397,19.2541
sample-4916,1,14.0462,15.486,16.1688,16.0732,16.636
sample-5065,1,18.1862,17.5055,16.7184,16.5032,15.3833
sample-5085,1,12.1575,13.5747,14.4839,14.0514,13.7498
sample-5096,1,13.68,13.8329,14.6724,15.8981,16.3099
sample-5141,1,19.3937,19.0411,20.896,20.4577,21.232
sample-5223,1,12.9085,12.8458,14.4413,15.4218,16.0191
sample-5364,1,14.2799,16.1691,17.236,18.566,19.664
sample-5370,1,17.82,17.739,18.1355,18.2515,19.5196
sample-5430,1,16.3816,16.4234,18.8058,18.9528,19.7917
sample-5555,1,12.815,13.5785,15.2245,14.757,14.8289
sample-5572,1,16.016,17.7968,18.2667,19.5461,19.4291
sample-5580,1,14.6477,16.4874,16.9055,16.1039,15.0192
sample-5593,1,16.2881,18.0216,18.7268,16.6309,17.8952
sample-5740,1,15.6111,16.0678,17.2779,18.3505,18.9092
sample-5825,1,13.8824,14.5559,15.5057,16.9369,17.084
sample-5839,1,17.9837,17.2235,19.5713,19.7062,20.1663
sample-5852,1,15.1902,16.9655,18.3187,18.1032,18.136
sample-5881,1,13.2716,14.3717,14.8425,15.0888,16.1254
sample-5921,1,15.8351,16.7754,17.0284,17.0641,16.4076
sample-5959,1,13.1241,15.0821,15.5848,16.9317,16.5465
sample-6022,1,13.8282,15.5014,17.305,17.9253,19.1282
sample-6056,1,16.7023,18.8164,17.9329,17.961,18.2353
sample-6080,1,19.0375,20.1322,20.2059,19.6602,20.8137
sample-6158,1,14.3304,15.7647,16.438,19.5278,20.555
sample-6177,1,15.1313,16.9055,16.8073,17.0636,18.2078
sample-6236,1,14.474,15.9077,17.0968,19.1672,20.2512
sample-6310,1,15.2578,15.6957,17.2044,17.2778,18.7995
sample-6322,1,14.6676,14.7465,14.7057,16.2379,16.2051
sample-6323,1,17.8761,16.7505,17.9946,18.0366,17.4507
sample-6332,1,18.9861,19.1753,19.5681,18.4807,19.8553
sample-6594,1,15.6193,16.4304,17.4107,18.3307,18.1116
sample-6597,1,17.7025,18.9912,19.1952,18.7574,20.0179
sample-6886,1,18.7183,21.1119,21.4417,22.0662,22.4098
sample-6934,1,14.0913,15.4661,16.9142,16.1144,15.3906
sample-7096,1,18.3326,18.6944,18.9586,19.2017,19.3747
sample-7190,1,15.5191,15.9958,17.7521,18.4809,17.7728
sample-7323,1,13.7703,15.4089,15.7281,14.7814,14.6488
sample-7324,1,11.9116,14.5405,14.7569,14.3442,14.968
sample-7325,1,12.107,14.1988,14.6557,13.9335,14.8063
sample-7326,1,12.016,13.9075,13.6144,13.6898,14.0566
sample-7327,1,11.8622,14.2311,14.4574,13.8809,14.6391
sample-7328,1,12.0989,14.6022,14.3948,14.0057,14.5935
sample-7351,1,13.3842,15.5866,17.4669,18.816,18.9435
sample-7405,1,13.5698,13.1675,13.8408,15.8169,16.6302
sample-7489,1,10.0862,12.4374,12.2693,13.2071,13.6901
sample-7491,1,11.1178,12.8477,13.7099,14.4476,14.4253
sample-7493,1,13.9708,15.6828,17.066,20.0226,20.1953
sample-7525,1,12.8106,13.2135,14.6956,15.2736,15.6837
sample-7537,1,12.1489,15.2171,16.7377,17.0669,16.3026
sample-7585,1,13.0859,14.4261,15.2299,15.867,16.0494
sample-7605,1,19.4788,16.6541,17.5616,17.3714,18.6447
sample-7716,1,12.7744,13.2328,14.889,15.7947,15.183
sample-7780,1,12.7808,15.3443,15.4363,16.005,15.5487
sample-7830,1,12.658,12.3872,13.1633,14.307,14.7782
sample-7832,1,12.0524,14.5713,14.8057,15.8992,17.6278
sample-7833,1,12.4059,16.4247,14.5509,15.8565,17.9345
sample-8054,1,12.6095,12.6545,13.5798,14.8266,16.219
sample-8095,1,15.6091,16.8354,18.4783,18.7656,20.2705
sample-8129,1,13.4831,16.2898,18.0801,19.7408,20.3292
sample-8224,1,13.0421,13.2476,16.108,16.3396,16.8006
sample-8371,1,15.6513,15.6562,16.686,16.5504,16.5749
sample-8425,1,14.9629,17.5939,18.5276,18.1117,19.3895
sample-8466,1,15.0918,15.4406,16.706,16.433,16.4046
sample-8510,1,11.3695,13.9907,16.6299,17.4872,16.9778
sample-8545,1,12.1785,12.9049,15.0577,16.2516,16.3755
sample-8546,1,12.4299,14.2572,15.311,14.265,14.5843
sample-8646,1,12.8543,13.029,13.8936,17.4533,17.8403
sample-8911,1,14.1579,15.3391,15.4127,15.2836,14.4814
sample-8914,1,17.2375,18.4119,17.9764,17.5698,19.3143
sample-8990,1,15.9003,18.1743,18.1179,18.8412,19.8589
sample-9072,1,12.7511,13.5669,15.5969,16.8897,16.0936
sample-9078,1,15.6492,16.7227,18.269,18.5406,19.4694
sample-9121,1,14.9092,15.1522,16.6168,16.7455,18.077
sample-9347,1,13.4703,14.3405,15.1964,16.854,17.7833
sample-9393,1,14.1996,13.9884,17.1575,16.3252,16.7213
sample-9410,1,14.3728,16.644,15.2676,15.8731,17.4541
sample-9411,1,14.2825,16.4365,14.6932,15.832,17.2175
sample-9504,1,14.6662,17.0443,15.5631,16.726,17.1169
sample-9536,1,12.5458,13.9032,14.6561,14.9653,14.9882
sample-9539,1,16.5169,16.7757,18.1723,17.1708,18.4112
sample-9656,1,18.1736,19.0578,17.9792,18.972,19.2669
sample-9813,1,18.8281,18.5376,19.597,20.2378,19.8536
sample-9984,1,16.4986,16.7575,16.4552,16.5878,15.1665
sample-9990,1,16.2895,16.4256,18.4968,17.2721,18.4942
sample-10061,1,11.9352,13.6178,12.7639,14.4399,14.3909
sample-10132,1,13.6014,15.7029,16.5243,16.0143,16.5638
sample-10162,1,18.4934,19.1719,20.2904,20.3681,20.537
